Taxon ID	Genus	Species	Strain/Culture collection	Seq ID	No. of contigs & singlets	Combined length (bp) *
721	Streptococcus	parasanguinis clade 721	ATCC 15912	1919	1	2153652
721	Streptococcus	parasanguinis clade 721	FW213	2344	1	2171609
728	Streptococcus	peroris	ATCC 700780	2000	17	1633292
734	Streptococcus	pneumoniae	SP11-BS70	1400	25	2059769
734	Streptococcus	pneumoniae	SPNA45	2241	1	2129934
734	Streptococcus	pneumoniae	BS458	1588	109	2063728
734	Streptococcus	pneumoniae	GA41317	2231	6	2090801
734	Streptococcus	pneumoniae	GA17545	2228	11	2103456
734	Streptococcus	pneumoniae	MLV-016	1530	126	2242383
734	Streptococcus	pneumoniae	GA08825	2306	10	2103417
734	Streptococcus	pneumoniae	CDC3059-06	1527	33	2292125
734	Streptococcus	pneumoniae	TIGR4	1349	1	2160842
734	Streptococcus	pneumoniae	England14-9	2303	8	2087621
734	Streptococcus	pneumoniae	CDC0288-04	1524	38	2049808
734	Streptococcus	pneumoniae	INV200	1344	1	2093317
734	Streptococcus	pneumoniae	SP9-BS68	1407	61	2115676
734	Streptococcus	pneumoniae	670-6B	1341	1	2240045
734	Streptococcus	pneumoniae	SP23-BS72	1404	32	2102291
734	Streptococcus	pneumoniae	SP9v-BS293	1590	30	2065452
734	Streptococcus	pneumoniae	GA47901	2233	6	2086317
734	Streptococcus	pneumoniae	BS457	1587	97	2053197
734	Streptococcus	pneumoniae	GA41301	2230	17	2156995
734	Streptococcus	pneumoniae	P1031	1726	1	2111882
734	Streptococcus	pneumoniae	GA04375	2227	9	2061399
734	Streptococcus	pneumoniae	Taiwan19F-14	1532	1	2112148
734	Streptococcus	pneumoniae	ST556	2308	1	2145902
734	Streptococcus	pneumoniae	JJA	1529	1	2120234
734	Streptococcus	pneumoniae	GA05578	2305	7	2107559
734	Streptococcus	pneumoniae	CDC1873-00	1526	53	2263323
734	Streptococcus	pneumoniae	R6	1346	1	2038615
734	Streptococcus	pneumoniae	459-5	2302	47	2169192
734	Streptococcus	pneumoniae	70585	1523	1	2184682
734	Streptococcus	pneumoniae	INV104	1343	1	2142122
734	Streptococcus	pneumoniae	SP6-BS73	1406	38	2161512
734	Streptococcus	pneumoniae	SP19-BS75	1403	30	2135318
734	Streptococcus	pneumoniae	CGSP14	1116	1	2209198
734	Streptococcus	pneumoniae	SP14-BS69	1401	49	2146293
734	Streptococcus	pneumoniae	AP200	1929	1	2130580
734	Streptococcus	pneumoniae	SP14-BS292	1589	25	2100368
734	Streptococcus	pneumoniae	GA47368	2232	8	2177227
734	Streptococcus	pneumoniae	BS397	1536	22	2070802
734	Streptococcus	pneumoniae	GA17570	2229	9	2119821
734	Streptococcus	pneumoniae	TCH8431/19A	1840	1	2088772
734	Streptococcus	pneumoniae	BS455	2226	113	2084124
734	Streptococcus	pneumoniae	G54	1059	1	2078953
734	Streptococcus	pneumoniae	ATCC 700669	1642	1	2221315
734	Streptococcus	pneumoniae	SP195	1531	41	2196854
734	Streptococcus	pneumoniae	GA17457	2307	17	2098711
734	Streptococcus	pneumoniae	Hungary19A-6	1528	1	2245615
734	Streptococcus	pneumoniae	GA02506	2304	8	2049637
734	Streptococcus	pneumoniae	CDC1087-00	1525	75	2187960
734	Streptococcus	pneumoniae	OXC141	1345	1	2036867
734	Streptococcus	pneumoniae	D39	1342	1	2046115
734	Streptococcus	pneumoniae	SP3-BS71	1405	24	2032681
734	Streptococcus	pneumoniae	SP18-BS74	1402	28	2104549
745	Streptococcus	pyogenes	SF370 (serotype M1 GAS), ATCC 700294	1380	1	1852441
745	Streptococcus	pyogenes	MGAS9429, ATCC BAA-1315	1364	1	1836467
745	Streptococcus	pyogenes	MGAS10270	1356	1	1928252
745	Streptococcus	pyogenes	M1 MGAS5005, ATCC BAA-947	1361	1	1838554
745	Streptococcus	pyogenes	NZ131	1494	1	1815785
745	Streptococcus	pyogenes	MGAS10750, ATCC BAA-1066	1358	1	1937111
745	Streptococcus	pyogenes	MGAS8232, ATCC BAA-572	1363	1	1895017
745	Streptococcus	pyogenes	Manfredo (M5) M5	1355	1	1841271
745	Streptococcus	pyogenes	MGAS315, ATCC BAA-595	1360	1	1900521
745	Streptococcus	pyogenes	ATCC 10782	2242	90	1839847
745	Streptococcus	pyogenes	Alab49	2181	1	1827308
745	Streptococcus	pyogenes	SSI-1	1365	1	1894275
745	Streptococcus	pyogenes	M6 MGAS10394, ATCC BAA-946	1357	1	1899877
745	Streptococcus	pyogenes	M28 MGAS6180, ATCC BAA-1064	1362	1	1897573
745	Streptococcus	pyogenes	MGAS2096, ATCC BAA-1065	1359	1	1860355
745	Streptococcus	pyogenes	MGAS15252	2301	1	1750832
745	Streptococcus	pyogenes	NS88.2	2384	298	1720933
755	Streptococcus	salivarius	CCHSS3, JIM8780	1367	1	2217184
755	Streptococcus	salivarius	PS4	2346	56	2051527
755	Streptococcus	salivarius	SK126	1843	101	2128332
755	Streptococcus	salivarius	JIM8777	1366	1	2210574
755	Streptococcus	salivarius	K12	2400	7	2426359
755	Streptococcus	salivarius	M18	2345	6	2325981
755	Streptococcus	salivarius	jf	2913	1	2191044
755	Streptococcus	salivarius	57.I	2006	1	2138805
758	Streptococcus	sanguinis	SK49	2017	21	2260082
758	Streptococcus	sanguinis	SK36	1070	1	2388435
758	Streptococcus	sanguinis	SK340	2014	14	2397186
758	Streptococcus	sanguinis	SK150	2011	27	2314805
758	Streptococcus	sanguinis	ATCC 29667	2008	34	2427335
758	Streptococcus	sanguinis	VMC66	2479	23	2311949
758	Streptococcus	sanguinis	SK355	2016	37	2353231
758	Streptococcus	sanguinis	SK330	2013	21	2413897
758	Streptococcus	sanguinis	SK115	2010	14	2335382
758	Streptococcus	sanguinis	SK72	2018	21	2364553
758	Streptococcus	sanguinis	SK353	2015	17	2294453
758	Streptococcus	sanguinis	SK160	2012	15	2326340
758	Streptococcus	sanguinis	ATCC 49296	2009	20	2054852
767	Streptococcus	sinensis	HKU4	2766	116	2061843
768	Streptococcus	sobrinus	DSM 20742	2517	283	2096203
768	Streptococcus	sobrinus	TCI-107	2247	269	2133456
56	Streptococcus	sp. HMT 056	F0418	1847	1	1943250
64	Streptococcus	sp. HMT 064	W10853	2905	3	2013158
66	Streptococcus	sp. HMT 066	F0442	1889	13	2224000
152	Streptococcus	thermophilus	jim_8232	2891	1	1929905
21	Streptococcus	vestibularis	ATCC 49124	2004	102	1841650
21	Streptococcus	vestibularis	F0396	1705	11	2022289
613	Tannerella	forsythia	92A2 not ATCC 43037, FDC 338	1072	1	3405521
613	Tannerella	forsythia	ATCC 43037, FDC 338	2738	141	3281748
286	Tannerella	sp. HMT 286	isolate Cell 2	2635	501	3038315
286	Tannerella	sp. HMT 286	W11667	2807	1	2973531
286	Tannerella	sp. HMT 286	isolate Cell 6/7/9	2637	1291	3476954
286	Tannerella	sp. HMT 286	isolate Cell 1/3	2634	1263	2785640
286	Tannerella	sp. HMT 286	isolate Cell 5	2636	542	3162010
286	Tannerella	sp. HMT 286	isolate Cell 8/11	2638	1618	2665364
584	Treponema	denticola	SP44/F0466	1877	17	2813914
584	Treponema	denticola	SP23/F0463	1874	12	2818666
584	Treponema	denticola	US-Trep/F0459	1871	22	2754526
584	Treponema	denticola	F0402	1679	31	2734980
584	Treponema	denticola	H1-T/F0456	1868	26	2920599
584	Treponema	denticola	ATCC 33520	1865	25	2872122
584	Treponema	denticola	SP33/F0465	1876	40	2921808
584	Treponema	denticola	AL-2/F0461	1873	18	2832949
584	Treponema	denticola	MYR-T/F0458	1870	22	2928435
584	Treponema	denticola	SP37/F0455	1867	28	2805165
584	Treponema	denticola	ATCC 35404	1864	33	2754203
584	Treponema	denticola	ATCC 33521	1878	25	2750006
584	Treponema	denticola	SP32/F0464	1875	32	2962533
584	Treponema	denticola	ATCC 35405, DSM 14222	1061	1	2843201
584	Treponema	denticola	ASLM/F0460	1872	43	2751231
584	Treponema	denticola	H-22/F0457	1869	21	2747786
584	Treponema	denticola	OTK/F0454	1866	11	2850287
653	Treponema	lecithinolyticum	OMZ 684T	1060	1377	1468573
653	Treponema	lecithinolyticum	ATCC 700332	2462	45	2338485
664	Treponema	maltophilum	ATCC 51939	1941	6	2527074
667	Treponema	medium	ATCC 700293	1940	19	2715791
805	Treponema	pallidum	subsp. pertenue str. SamoaD	1350	1	1139330
805	Treponema	pallidum	str. Nichols	1062	1	1138011
805	Treponema	pallidum	subsp. pertenue str. CDC2	1328	1	1139744
805	Treponema	pallidum	Dallas1	1419	1	1139971
805	Treponema	pallidum	subsp. pallidum str. Chicago	2182	1	1139281
805	Treponema	pallidum	subsp. pallidum str. Mexico A	2429	1	1140038
805	Treponema	pallidum	subsp. pertenue Gauthier	1326	1	1139417
805	Treponema	pallidum	SS14	1499	1	1139457
805	Treponema	pallidum	Fribourg-Blanc	2545	1	1140481
743	Treponema	putidum	OMZ 758, ATCC 700334	2771	2	2800562
769	Treponema	socranskii	ATCC 35535	1942	16	2731774
769	Treponema	socranskii	ATCC 35536	2757	74	2804628
29	Treponema	vincentii	ATCC 35580	1610	72	2512734
29	Treponema	vincentii	F0403/N9	1947	13	2678100
832	Turicella	otitidis	ATCC 51513	2407	87	2090523
717	Variovorax	paradoxus	EPS	2183	1	6550056
717	Variovorax	paradoxus	S110	1395	2	6754997
717	Variovorax	paradoxus	B4	2586	2	7148516
524	Veillonella	atypica	ACS-134-V-Col7a	1918	70	2151913
524	Veillonella	atypica	ACS-049-V-Sch6	2243	63	2053871
524	Veillonella	atypica	KON, ATCC 17744	1939	68	2001713
887	Veillonella	denticariosi	AS16	2811	22	1946140
160	Veillonella	dispar	DORA_11	2633	605	2432612
160	Veillonella	dispar	ATCC 17748	1159	25	2116567
161	Veillonella	parvula	HSIVP1	2564	27	2144848
161	Veillonella	parvula	ATCC 17745	2364	19	2163473
161	Veillonella	parvula	ATCC 17745	1058	353	371505
161	Veillonella	parvula	DSM 2008, Te3, ATCC 10790, JCM 1297	1496	1	2132142
161	Veillonella	parvula	ACS-068-V-Sch12	2244	23	2152140
158	Veillonella	rogosae	F0412	1698	21	2176752
780	Veillonella	sp. HMT 780	F0422	1859	75	1731014
827	Yersinia	pestis	biovar Orientalis str. MG05-1020	1568	80	4977609
827	Yersinia	pestis	KIM D27	1844	9	4681648
827	Yersinia	pestis	biovar Orientalis str. F1991016	1565	107	4892085
827	Yersinia	pestis	D182038	2186	4	4802263
827	Yersinia	pestis	biovar Antiqua str. UG05-0454	1562	98	4838246
827	Yersinia	pestis	Pestoides A	1559	37	4750606
827	Yersinia	pestis	Angola	1555	3	4687014
827	Yersinia	pestis	KIM10+	1056	2	4701745
827	Yersinia	pestis	biovar Orientalis str. IP275	1567	101	5139152
827	Yersinia	pestis	Pestoides F	1099	3	4725862
827	Yersinia	pestis	biovar Medievalis str. Harbin 35	1564	4	4709501
827	Yersinia	pestis	D106004	2185	4	4812922
827	Yersinia	pestis	biovar Antiqua str. E1979001	1561	75	4847813
827	Yersinia	pestis	Nepal516	1558	23	4629080
827	Yersinia	pestis	CO92	1055	4	4829855
827	Yersinia	pestis	Nepal516	1057	3	4646286
827	Yersinia	pestis	biovar Orientalis str. PEXU2	1569	5	4770886
827	Yersinia	pestis	biovar Orientalis str. India 195	1566	33	4719608
827	Yersinia	pestis	Z176003	2188	4	4725788
827	Yersinia	pestis	biovar Mediaevalis str. K1973002	1563	73	4720694
827	Yersinia	pestis	A1122	2184	3	4658411
827	Yersinia	pestis	biovar Antiqua str. B42003004	1560	69	4841690
827	Yersinia	pestis	CA88-4125	1556	8	4658875
827	Yersinia	pestis	Antiqua JGI	1054	4	4879836
827	Yersinia	pestis	biovar Microtus str. 91001	1082	5	4803217
