"Datasets"	"Sum"
"uncultured bacterium Contig1772"	595
"uncultured bacterium Contig1773"	5
"uncultured bacterium Contig1777_n_1791_cl"	1803
"uncultured bacterium Contig1795"	8
"uncultured bacterium Contig1831"	1135
"uncultured bacterium Contig19"	3744
"uncultured bacterium Contig19542"	5
"uncultured bacterium Contig196"	212
"uncultured bacterium Contig19929"	6
"uncultured bacterium Contig2"	22
"uncultured bacterium Contig203"	170
"uncultured bacterium Contig20311"	5
"uncultured bacterium Contig21"	454
"uncultured bacterium Contig21256"	21
"uncultured bacterium Contig224"	103
"uncultured bacterium Contig248"	95
"uncultured bacterium Contig26"	118
"uncultured bacterium Contig27"	120
"uncultured bacterium Contig28b"	533
"uncultured bacterium Contig29"	135
"uncultured bacterium Contig33"	223
"uncultured bacterium Contig39"	111
"uncultured bacterium Contig394"	163
"uncultured bacterium Contig3a"	58
"uncultured bacterium Contig3b"	372
"uncultured bacterium Contig4"	212
"uncultured bacterium Contig46"	97
"uncultured bacterium Contig52"	59
"uncultured bacterium Contig54"	50
"uncultured bacterium Contig575"	118
"uncultured bacterium Contig783"	154
"uncultured bacterium Contig87"	286
"uncultured bacterium Contig9"	514
"uncultured bacterium Contig90"	197
"uncultured bacterium Contig99"	558
"uncultured bacterium Contigcl_10-cl"	64
"uncultured bacterium Contigcl_1149"	231
"uncultured bacterium Contigcl_1493"	2644
"uncultured bacterium Contigcl_1523"	71
"uncultured bacterium Contigcl_1528"	459
"uncultured bacterium Contigcl_1539"	23
"uncultured bacterium Contigcl_1542"	2666
"uncultured bacterium Contigcl_1556"	128
"uncultured bacterium Contigcl_1565"	165
"uncultured bacterium Contigcl_1738"	6
"uncultured bacterium Contigcl_1748"	641
"uncultured bacterium Contigcl_1750"	22
"uncultured bacterium Contigcl_1764b"	28
"uncultured bacterium Contigcl_1769"	1202
"uncultured bacterium Contigcl_1771"	6
"uncultured bacterium Contigcl_1774"	1375
"uncultured bacterium Contigcl_1787"	1291
"uncultured bacterium Contigcl_1792"	700
"uncultured bacterium Contigcl_22"	36
"uncultured bacterium Contigcl_23"	46
"uncultured bacterium Contigcl_289"	10
"uncultured bacterium Contigcl_30"	417
"uncultured bacterium Contigcl_32"	41
"uncultured bacterium Contigcl_38"	77
"uncultured bacterium Contigcl_47"	24
"uncultured bacterium Contigcl_51"	2810
"uncultured bacterium Contigcl_6"	393
"uncultured bacterium Contigcl_8"	977
"uncultured bacterium Csd4"	1716
"uncultured bacterium CSL1"	5
"uncultured bacterium CSL11"	232
"uncultured bacterium CSL12"	254
"uncultured bacterium CSL142"	197
"uncultured bacterium CSLC2"	42
"uncultured bacterium CSLF43"	69
"uncultured bacterium CSLG10"	28
"uncultured bacterium ctg7180000000728"	42
"uncultured bacterium ctg7180000000730"	97
"uncultured bacterium ctg7180000000732"	164
"uncultured bacterium ctg7180000000733"	147
"uncultured bacterium ctg7180000000734"	256
"uncultured bacterium ctg7180000000736"	79
"uncultured bacterium ctg7180000000737"	538
"uncultured bacterium ctg7180000000739"	5
"uncultured bacterium ctg7180000000740"	14
"uncultured bacterium ctg7180000000741"	116
"uncultured bacterium ctg7180000000742"	117
"uncultured bacterium ctg7180000000749"	171
"uncultured bacterium ctg7180000000751"	74
"uncultured bacterium ctg7180000000753"	15
"uncultured bacterium ctg7180000000754"	305
"uncultured bacterium ctg7180000000755"	239
"uncultured bacterium ctg7180000000757"	294
"uncultured bacterium ctg7180000000758"	135
"uncultured bacterium ctg7180000000760"	33
"uncultured bacterium ctg7180000000761"	12
"uncultured bacterium ctg7180000000762"	22
"uncultured bacterium ctg7180000000765"	28
"uncultured bacterium ctg7180000000766"	23
"uncultured bacterium ctg7180000000767"	211
"uncultured bacterium ctg7180000000769"	51
"uncultured bacterium ctg7180000000771"	20
"uncultured bacterium ctg7180000000774"	29
"uncultured bacterium ctg7180000000777"	15
"uncultured bacterium ctg7180000000780"	11
"uncultured bacterium ctg7180000000781"	12
"uncultured bacterium ctg7180000000784"	273
"uncultured bacterium ctg7180000000785"	1045
"uncultured bacterium ctg7180000000786"	135
"uncultured bacterium ctg7180000000787"	122
"uncultured bacterium ctg7180000000788"	80
"uncultured bacterium ctg7180000000789"	48
"uncultured bacterium ctg7180000000790"	175
"uncultured bacterium ctg7180000000791"	318
"uncultured bacterium ctg7180000000792"	84
"uncultured bacterium ctg7180000000796"	54
"uncultured bacterium ctg7180000000797"	67
"uncultured bacterium ctg7180000000798"	7
"uncultured bacterium ctg7180000000800"	8
"uncultured bacterium ctg7180000000801"	95
"uncultured bacterium ctg7180000000803"	24
"uncultured bacterium ctg7180000000804"	352
"uncultured bacterium ctg7180000000805"	256
"uncultured bacterium ctg7180000000807"	172
"uncultured bacterium ctg7180000000810"	137
"uncultured bacterium ctg7180000000812"	38
"uncultured bacterium ctg7180000000813"	12
"uncultured bacterium ctg7180000000817"	35
"uncultured bacterium ctg7180000000821"	110
"uncultured bacterium ctg7180000000822"	133
"uncultured bacterium ctg7180000000823"	54
"uncultured bacterium ctg7180000000826"	21
"uncultured bacterium ctg7180000000827"	14
"uncultured bacterium ctg7180000000831"	5
"uncultured bacterium ctg7180000000834"	6
"uncultured bacterium ctg7180000000837"	5
"uncultured bacterium ctg7180000000840"	7
"uncultured bacterium ctg7180000000841"	131
"uncultured bacterium ctg7180000000842"	176
"uncultured bacterium ctg7180000000843"	85
"uncultured bacterium ctg7180000000844"	268
"uncultured bacterium ctg7180000000845"	5
"uncultured bacterium ctg7180000000847"	83
"uncultured bacterium ctg7180000000848"	5
"uncultured bacterium ctg7180000000852"	428
"uncultured bacterium ctg7180000000853"	13
"uncultured bacterium ctg7180000000854"	106
"uncultured bacterium ctg7180000000858"	15
"uncultured bacterium ctg7180000000860"	20
"uncultured bacterium ctg7180000000864"	543
"uncultured bacterium ctg7180000000865"	46
"uncultured bacterium ctg7180000000866"	5
"uncultured bacterium ctg7180000000869"	9
"uncultured bacterium ctg7180000000870"	31
"uncultured bacterium ctg7180000000874"	7
"uncultured bacterium ctg7180000000880"	338
"uncultured bacterium ctg7180000000883"	21
"uncultured bacterium ctg7180000000889"	52
"uncultured bacterium ctg7180000000890"	63
"uncultured bacterium ctg7180000000891"	6
"uncultured bacterium ctg7180000000892"	36
"uncultured bacterium ctg7180000000898"	65
"uncultured bacterium ctg7180000000899"	6
"uncultured bacterium ctg7180000000900"	180
"uncultured bacterium ctg7180000000902"	6
"uncultured bacterium ctg7180000000905"	99
"uncultured bacterium ctg7180000000907"	59
"uncultured bacterium ctg7180000000908"	57
"uncultured bacterium ctg7180000000909"	469
"uncultured bacterium ctg7180000000911"	10
"uncultured bacterium ctg7180000000912"	97
"uncultured bacterium ctg7180000000919"	92
"uncultured bacterium ctg7180000000927"	1491
"uncultured bacterium ctg7180000000928"	65
"uncultured bacterium ctg7180000000929"	62
"uncultured bacterium ctg7180000000931"	407
"uncultured bacterium ctg7180000000933"	114
"uncultured bacterium ctg7180000000936"	13
"uncultured bacterium ctg7180000000939"	21
"uncultured bacterium ctg7180000000945"	41
"uncultured bacterium ctg7180000000948"	177
"uncultured bacterium ctg7180000000950"	35
"uncultured bacterium ctg7180000000951"	5
"uncultured bacterium ctg7180000000952"	9
"uncultured bacterium ctg7180000000953"	72
"uncultured bacterium ctg7180000000959"	13
"uncultured bacterium ctg7180000000965"	156
"uncultured bacterium ctg7180000000968"	40
"uncultured bacterium ctg7180000000969"	44
"uncultured bacterium ctg7180000000971"	7
"uncultured bacterium ctg7180000000973"	28
"uncultured bacterium ctg7180000000974"	28
"uncultured bacterium ctg7180000000981"	19
"uncultured bacterium ctg7180000000983"	23
"uncultured bacterium ctg7180000000986"	14
"uncultured bacterium ctg7180000000987"	555
"uncultured bacterium ctg7180000000989"	55
"uncultured bacterium ctg7180000001002"	6
"uncultured bacterium ctg7180000001003"	6
"uncultured bacterium ctg7180000001007"	69
"uncultured bacterium ctg7180000001009"	64
"uncultured bacterium ctg7180000001010"	18
"uncultured bacterium ctg7180000001011"	746
"uncultured bacterium ctg7180000001012"	62
"uncultured bacterium ctg7180000001014"	12
"uncultured bacterium ctg7180000001016"	5
"uncultured bacterium ctg7180000001019"	20
"uncultured bacterium ctg7180000001021"	11
"uncultured bacterium ctg7180000001022"	577
"uncultured bacterium ctg7180000001023"	60
"uncultured bacterium ctg7180000001024"	31
"uncultured bacterium ctg7180000001028"	71
"uncultured bacterium ctg7180000001033"	7
"uncultured bacterium ctg7180000001040"	43
"uncultured bacterium ctg7180000001043"	74
"uncultured bacterium ctg7180000001048"	6
"uncultured bacterium ctg7180000001051"	41
"uncultured bacterium ctg7180000001055"	18
"uncultured bacterium ctg7180000001056"	13
"uncultured bacterium ctg7180000001059"	12
"uncultured bacterium ctg7180000001062"	36
"uncultured bacterium ctg7180000001065"	34
"uncultured bacterium ctg7180000001066"	118
"uncultured bacterium ctg7180000001068"	9
"uncultured bacterium ctg7180000001073"	5
"uncultured bacterium ctg7180000001078"	11
"uncultured bacterium ctg7180000001084"	13
"uncultured bacterium ctg7180000001094"	797
"uncultured bacterium ctg7180000001097"	11
"uncultured bacterium ctg7180000001137"	33
"uncultured bacterium ctg7180000001172"	7
"uncultured bacterium ctg7180000001426"	20
"uncultured bacterium ctg7180000001427"	42
"uncultured bacterium ctg7180000001428"	147
"uncultured bacterium ctg7180000001429"	158
"uncultured bacterium ctg7180000001430"	8
"uncultured bacterium ctg7180000001431"	248
"uncultured bacterium ctg7180000001434"	378
"uncultured bacterium ctg7180000001435"	940
"uncultured bacterium ctg7180000001444"	6
"uncultured bacterium ctg7180000001446"	76
"uncultured bacterium ctg7180000001447"	50
"uncultured bacterium ctg7180000001448"	982
"uncultured bacterium ctg7180000001449"	189
"uncultured bacterium ctg7180000001450"	11
"uncultured bacterium ctg7180000001451"	103
"uncultured bacterium ctg7180000001454"	1082
"uncultured bacterium D006"	13
"uncultured bacterium DC-33B"	100
"uncultured bacterium DC-99E"	74
"uncultured bacterium DCM001Kan16"	77
"uncultured bacterium DCM001Tet01"	422
"uncultured bacterium DCM002Cm04"	18
"uncultured bacterium DCM002Kan02"	31
"uncultured bacterium DCM002Kan04"	214
"uncultured bacterium DCM003Kan08"	93
"uncultured bacterium DCM004Carb02"	7
"uncultured bacterium DCM004Kan06"	1584
"uncultured bacterium DCM005Kan02"	120
"uncultured bacterium DCM007Cm01"	150
"uncultured bacterium DCM007Kan02"	5
"uncultured bacterium DCM007Kan05"	125
"uncultured bacterium DCM008Cm01"	6
"uncultured bacterium DELDOXY23"	19
"uncultured bacterium DELDOXY35"	72
"uncultured bacterium DY94"	50
"uncultured bacterium EB000_36F02"	22485
"uncultured bacterium EB1"	35282
"uncultured bacterium EB2"	7105
"uncultured bacterium EB3"	1717
"uncultured bacterium EB4"	3292
"uncultured bacterium EB5"	2184
"uncultured bacterium eBACmed18B02"	45213
"uncultured bacterium eBACmed86H08"	21716
"uncultured bacterium eBACred22E04"	93
"uncultured bacterium ECS54"	36
"uncultured bacterium EIL107F05"	260
"uncultured bacterium EIL11C05"	50
"uncultured bacterium EIL20A02"	4639
"uncultured bacterium EIL26B11"	12604
"uncultured bacterium EIL27G07"	2109
"uncultured bacterium EIL4H10"	264
"uncultured bacterium EIL5A08"	631
"uncultured bacterium EIL68H05"	4037
"uncultured bacterium EIL80B09"	2335
"uncultured bacterium EIL80E09"	48852
"uncultured bacterium esnapd1.2"	202
"uncultured bacterium esnapd10"	11
"uncultured bacterium esnapd12"	19
"uncultured bacterium esnapd13"	18
"uncultured bacterium esnapd15"	15
"uncultured bacterium esnapd17"	5
"uncultured bacterium esnapd2"	17
"uncultured bacterium esnapd21"	52
"uncultured bacterium esnapd26"	69
"uncultured bacterium esnapd4"	319
"uncultured bacterium esnapd5.2"	20
"uncultured bacterium esnapd7"	25
"uncultured bacterium esnapd8"	11
"uncultured bacterium esnapd9"	50
"uncultured bacterium F1_24"	44
"uncultured bacterium F2_16"	11
"uncultured bacterium F25-01"	6
"uncultured bacterium F41-01"	26
"uncultured bacterium F42-01"	315
"uncultured bacterium FC10F"	40
"uncultured bacterium FC3"	808
"uncultured bacterium FC5"	189
"uncultured bacterium FC9"	6
"uncultured bacterium fCS1"	12
"uncultured bacterium FGYC_13M19"	666
"uncultured bacterium fosmid pJB102C1"	330
"uncultured bacterium fosmid pJB135F11"	855
"uncultured bacterium fosmid pJB148G3"	21
"uncultured bacterium fosmid pJB154B8_contig I"	72
"uncultured bacterium fosmid pJB154B8_contig II"	305
"uncultured bacterium fosmid pJB16B1"	3558
"uncultured bacterium fosmid pJB17E7_contig I"	231
"uncultured bacterium fosmid pJB190D12_contig I"	20
"uncultured bacterium fosmid pJB190D12_contig II"	20
"uncultured bacterium fosmid pJB23D10"	41
"uncultured bacterium fosmid pJB28H11"	229
"uncultured bacterium fosmid pJB42G5"	379
"uncultured bacterium fosmid pJB65E1"	60
"uncultured bacterium fosmid pJB69A5"	508
"uncultured bacterium fosmid pJB71G8"	1223
"uncultured bacterium fosmid pJB77G10"	157
"uncultured bacterium fosmid pJB89E1"	18
"uncultured bacterium fosmid pJB92C9"	5171
"uncultured bacterium FPPP_13C3"	3557
"uncultured bacterium FPPP_33K14"	406
"uncultured bacterium FPPS_57A9"	1169
"uncultured bacterium FPPU_33B15"	62
"uncultured bacterium FPPZ_5C6"	1045
"uncultured bacterium fss6"	68
"uncultured bacterium G1_15"	207
"uncultured bacterium G2_7"	87
"uncultured bacterium glc16"	54
"uncultured bacterium GRIST01"	97
"uncultured bacterium GRIST02"	13
"uncultured bacterium GRIST03"	7
"uncultured bacterium GRIST05"	30
"uncultured bacterium GRIST08"	72
"uncultured bacterium GRIST10"	401
"uncultured bacterium GRIST12"	260
"uncultured bacterium GRIST13"	82
"uncultured bacterium GRIST14"	650
"uncultured bacterium GRIST15"	5
"uncultured bacterium GRIST17"	42
"uncultured bacterium GRIST19"	117
"uncultured bacterium GRIST20"	25
"uncultured bacterium GRIST22"	149
"uncultured bacterium GRIST24"	5
"uncultured bacterium H2_7"	131
"uncultured bacterium HERMI11"	436
"uncultured bacterium HF0010_006G12"	122
"uncultured bacterium HF0010_04H24"	1312
"uncultured bacterium HF0010_05N09"	270
"uncultured bacterium HF0010_07B24"	4961
"uncultured bacterium HF0010_08B07"	182
"uncultured bacterium HF0010_31F02"	4322
"uncultured bacterium HF0070_015G03"	98
"uncultured bacterium HF0070_01M22"	33628
"uncultured bacterium HF0070_02E07"	1447
"uncultured bacterium HF0070_045F09"	784
"uncultured bacterium HF0070_051F10"	122
"uncultured bacterium HF0070_052C03"	5
"uncultured bacterium HF0070_05I22"	538
"uncultured bacterium HF0070_068A10"	171
"uncultured bacterium HF0070_15B21"	15
"uncultured bacterium HF0130_05G09"	13
"uncultured bacterium HF0200_075G07"	5
"uncultured bacterium HF0200_14D13"	205
"uncultured bacterium HF0200_39L23"	132
"uncultured bacterium HF0500_072H01"	10
"uncultured bacterium HF0500_10F10"	30
"uncultured bacterium HF0500_16O16"	2675
"uncultured bacterium HF0500_25A21"	9
"uncultured bacterium HF0500_31I04"	42
"uncultured bacterium HF0500_40D21"	11
"uncultured bacterium HF0770_08F21"	82
"uncultured bacterium HF0770_09E03"	8
"uncultured bacterium HF0770_09N23"	2405
"uncultured bacterium HF0770_15G20"	1961
"uncultured bacterium HF0770_19G13"	1883
"uncultured bacterium HF0770_19L13"	8192
"uncultured bacterium HF0770_23K07"	128
"uncultured bacterium HF0770_27E13"	609
"uncultured bacterium HF0770_42P23"	7
"uncultured bacterium HF0770_45N15"	16
"uncultured bacterium HF130_01F24"	107
"uncultured bacterium HF130_12L15"	57
"uncultured bacterium HF130_AEPn_1"	70
"uncultured bacterium HF130_AEPn_2"	395
"uncultured bacterium HF4000_16C08"	5927
"uncultured bacterium HF70_[96]16E7"	1148
"uncultured bacterium HF70_[96]24E12"	2468
"uncultured bacterium HF70_[96]34D2"	28
"uncultured bacterium JM9_B4"	155
"uncultured bacterium JM9_G5"	62
"uncultured bacterium KM3-173-A5"	1809
"uncultured bacterium KM3-174-C5"	1829
"uncultured bacterium KM3-18-F8"	162
"uncultured bacterium KM3-187-G1"	28
"uncultured bacterium KM3-193-H12"	867
"uncultured bacterium KM3-205-D9"	1203
"uncultured bacterium KM3-23-D4"	356
"uncultured bacterium KM3-25-B4"	2152
"uncultured bacterium KM3-47-A6"	918
"uncultured bacterium KM3-47-B8"	44
"uncultured bacterium KM3-69-D9"	1424
"uncultured bacterium KM3-69-F5"	1020
"uncultured bacterium KM4-1-D1"	474
"uncultured bacterium KM4-9-H7"	645
"uncultured bacterium L11E10"	180
"uncultured bacterium L413009-K18"	34
"uncultured bacterium LAB20"	2907
"uncultured bacterium LAB25"	99
"uncultured bacterium lac111"	135
"uncultured bacterium lac121"	375
"uncultured bacterium lac127"	60
"uncultured bacterium lac146"	5
"uncultured bacterium lac153"	147
"uncultured bacterium lac16"	21
"uncultured bacterium lac160"	291
"uncultured bacterium Lac161"	30
"uncultured bacterium lac193"	17
"uncultured bacterium Lac36W"	147
"uncultured bacterium lac82"	310
"uncultured bacterium lac84"	37
"uncultured bacterium Lq_007_G03"	887
"uncultured bacterium Lq_015_M09"	266
"uncultured bacterium Lq_025_E06"	3917
"uncultured bacterium MB13C05"	1516
"uncultured bacterium MedeBAC35C06"	82
"uncultured bacterium MedeBAC46A06"	48
"uncultured bacterium MedeBAC49C08"	7001
"uncultured bacterium MedeBAC82F10"	195
"uncultured bacterium MID12"	2112
"uncultured bacterium NAZ1"	7
"uncultured bacterium NAZ2"	15
"uncultured bacterium NAZ8"	12
"uncultured bacterium NM_1663"	6
"uncultured bacterium O815"	70
"uncultured bacterium O8SB"	17
"uncultured bacterium O8SD"	196
"uncultured bacterium O8SE"	654
"uncultured bacterium O8SG"	524
"uncultured bacterium Oim32"	501
"uncultured bacterium OMZ60_02F10"	13
"uncultured bacterium OMZ60_03B13"	10
"uncultured bacterium OMZ60_06K24"	584
"uncultured bacterium OMZ60_11L23"	18
"uncultured bacterium OMZ60_11M11"	13
"uncultured bacterium OMZ60_14F6"	22
"uncultured bacterium OMZ60_17N10"	39
"uncultured bacterium P11N2"	160
"uncultured bacterium P1N3"	219
"uncultured bacterium P2N10"	18
"uncultured bacterium P2N8"	54
"uncultured bacterium P8N7"	26
"uncultured bacterium pAKD4"	32
"uncultured bacterium pBIO2154"	46
"uncultured bacterium pEAF66"	232
"uncultured bacterium pFosLip"	14
"uncultured bacterium PGSL07"	8
"uncultured bacterium pJM6"	7
"uncultured bacterium pSY1435"	27
"uncultured bacterium pUR16A2"	1059
"uncultured bacterium r_01"	10
"uncultured bacterium r_02"	2961
"uncultured bacterium r_03"	165
"uncultured bacterium r_06"	259
"uncultured bacterium Rc1"	77
"uncultured bacterium Rifle_16ft_4_minimus_15147"	10
"uncultured bacterium Rifle_16ft_4_minimus_19379"	592
"uncultured bacterium Rifle_16ft_4_minimus_24570"	56
"uncultured bacterium Rifle_16ft_4_minimus_37862"	2790
"uncultured bacterium Rifle_16ft_4_minimus_38450"	24
"uncultured bacterium Rifle_16ft_4_minimus_4190"	230
"uncultured bacterium Rifle_16ft_4_minimus_7469"	125
"uncultured bacterium Rifle_16ft_4_minimus_752"	679
"uncultured bacterium Rlip1"	221
"uncultured bacterium Rlip2"	236
"uncultured bacterium SA17"	37
"uncultured bacterium Sargasso-2218644"	94
"uncultured bacterium Sargasso-2222818"	448
"uncultured bacterium SAT21-C11-2B"	9
"uncultured bacterium SAT24-G11"	980
"uncultured bacterium SAT52-B4"	17
"uncultured bacterium SAT52-D2"	120
"uncultured bacterium scaffold00056"	1513
"uncultured bacterium scaffold00090"	43
"uncultured bacterium SH5"	9
"uncultured bacterium SRF2"	260
"uncultured bacterium STA2_11_A_06"	5
"uncultured bacterium TB_I_H8_p"	108
"uncultured bacterium TB308_p"	113
"uncultured bacterium TB312_p"	341
"uncultured bacterium TB314_p"	224
"uncultured bacterium TB321_p"	13
"uncultured bacterium TB350_p"	6
"uncultured bacterium TB94_p"	7
"uncultured bacterium Tinker soil 3"	24
"uncultured bacterium UaAb1"	5
"uncultured bacterium URE4"	1699
"uncultured bacterium W4-21b"	120
"uncultured bacterium W4-39b"	545
"uncultured bacterium W4-87b"	135
"uncultured bacterium W5-102b"	466
"uncultured bacterium W5-15b"	429
"uncultured bacterium W5-47b"	237
"uncultured bacterium W5-51b"	1497
"uncultured bacterium W5-77b"	213
"uncultured bacterium ws034A6"	34
"uncultured bacterium ws085G8"	108
"uncultured bacterium ws101A12"	8
"uncultured bacterium ws138B4"	11
"uncultured bacterium ws172H5"	184
"uncultured bacterium ws198A12"	78
"uncultured bacterium ws633F6"	699
"uncultured bacterium ws643C1"	701
"uncultured bacterium WT4"	12
"uncultured bacterium WT8"	214
"uncultured bacterium WWRS-2005"	16
"uncultured bacterium yo11"	12
"uncultured bacterium yo9"	12
"uncultured bacterium zdt-14e13"	65
"uncultured bacterium zdt-25h12"	96
"uncultured bacterium zdt-25h14"	1872
"uncultured bacterium zdt-33i5"	170
"uncultured bacterium zdt-39a1"	5
"uncultured bacterium zdt-44a23"	356
"uncultured Bacteroidaceae bacterium"	9
"uncultured Bacteroidales bacterium"	3603
"uncultured Bacteroides sp."	43961
"uncultured Bacteroides sp. Rifle_16ft_4_minimus_26618"	395
"uncultured Bacteroides sp. Rifle_16ft_4_minimus_9028"	397
"uncultured Bacteroidetes bacterium"	10362
"uncultured Bacteroidetes bacterium 'SBI2-18 P41A3'"	2548
"uncultured Banisveld landfill bacterium BVB41"	13
"uncultured Barnesiella sp."	17
"uncultured Bartonella sp."	1067
"uncultured Bartonella wbs089"	7
"uncultured Bdellovibrio sp."	5
"uncultured Bergeyella sp."	10
"uncultured beta proteobacterium"	7598
"uncultured beta proteobacterium CBNPD1 BAC clone 578"	712
"uncultured beta proteobacterium HF0130_04F21"	399
"uncultured beta proteobacterium Rifle_16ft_4_minimus_10522"	2137
"uncultured beta proteobacterium Rifle_16ft_4_minimus_15631"	318
"uncultured beta proteobacterium Rifle_16ft_4_minimus_3054"	431
"uncultured beta proteobacterium Rifle_16ft_4_minimus_33308"	181
"uncultured beta proteobacterium Rifle_16ft_4_minimus_37916"	220
"uncultured beta proteobacterium Rifle_16ft_4_minimus_6091"	90
"uncultured Bordetella sp."	7
"uncultured Brachymonas sp."	10
"uncultured Bradyrhizobiaceae bacterium"	36
"uncultured Bradyrhizobium sp."	248
"uncultured Brevundimonas sp."	551
"uncultured Burkholderia sp."	822
"uncultured Burkholderiaceae bacterium"	53
"uncultured Burkholderiales bacterium"	2566
"uncultured Burkholderiales Genera incertae sedis bacterium"	214
"uncultured Caedibacter sp."	7
"uncultured Campylobacter sp."	231
"uncultured Campylobacterales bacterium"	5
"uncultured Candidatus Accumulibacter sp."	22
"uncultured Candidatus Endomicrobium sp."	8
"uncultured Candidatus Marinimicrobia bacterium"	808
"uncultured Candidatus Neoehrlichia sp."	24
"uncultured Candidatus Nephrothrix sp."	127
"uncultured Candidatus Pelagibacter sp."	113
"uncultured Candidatus Solibacter sp."	4560
"uncultured Capnocytophaga sp."	3481
"uncultured Cardiobacterium sp."	194
"uncultured Caulobacter sp."	63
"uncultured Caulobacteraceae bacterium"	47
"uncultured Cellvibrio sp."	17
"uncultured chemocline bacterium ML660"	48
"uncultured chicken cecal bacterium"	21
"uncultured Chitinilyticum sp."	14
"uncultured Chitinophaga sp."	86
"uncultured Chitinophagaceae bacterium"	92
"uncultured Chlorobi bacterium"	255
"uncultured Chlorobiaceae bacterium"	6
"uncultured Chlorobium sp."	46
"uncultured Chromatiaceae bacterium"	85
"uncultured Chromatiales bacterium"	138
"uncultured Chromatiales bacterium HF0200_41F04"	4399
"uncultured Chryseobacterium sp."	8
"uncultured Citrobacter sp."	237
"uncultured Colwellia sp."	5
"uncultured Comamonadaceae bacterium"	3771
"uncultured Comamonas sp."	43
"uncultured Commensalibacter sp."	35
"uncultured compost bacterium"	44
"uncultured compost bacterium 4-13"	5
"uncultured Coxiella sp."	12
"uncultured Crater Lake bacterium CL500-9"	33
"uncultured Cryomorphaceae bacterium"	1782
"uncultured Cystobacterineae bacterium"	5
"uncultured Cytophaga sp."	67
"uncultured Cytophagales bacterium"	20
"uncultured Cytophagales MB11E04"	566
"uncultured Cytophagia bacterium"	938
"uncultured Dechloromonas sp."	5
"uncultured deep-sea autotrophic bacterium OTI-7"	18
"uncultured deep-sea autotrophic bacterium OTI-8"	25
"uncultured deep-sea autotrophic bacterium SBI-2"	110
"uncultured deep-sea autotrophic bacterium SBII-5"	11
"uncultured deep-sea bacterium"	212
"uncultured Deferribacteraceae bacterium"	77
"uncultured Deferribacteres bacterium"	106
"uncultured dehalogenating bacterium KL25"	5
"uncultured Delftia sp."	201
"uncultured delta proteobacterium"	4469
"uncultured delta proteobacterium DeepAnt-1F12"	514
"uncultured delta proteobacterium DeepAnt-32C6"	257
"uncultured delta proteobacterium HF0010_01J10"	232
"uncultured delta proteobacterium HF0070_10I02"	299
"uncultured delta proteobacterium HF0130_19C20"	8062
"uncultured delta proteobacterium HF0200_19J16"	12613
"uncultured delta proteobacterium HF0200_39N20"	7907
"uncultured delta proteobacterium HF4000_08N17"	1340
"uncultured delta proteobacterium Rifle_16ft_4_minimus_12842"	16
"uncultured delta proteobacterium Rifle_16ft_4_minimus_184"	118
"uncultured delta proteobacterium Rifle_16ft_4_minimus_1997"	266
"uncultured delta proteobacterium Rifle_16ft_4_minimus_2971"	96
"uncultured delta proteobacterium Rifle_16ft_4_minimus_36741"	157
"uncultured delta proteobacterium Rifle_16ft_4_minimus_37851"	10
"uncultured delta proteobacterium Rifle_16ft_4_minimus_39832"	267
"uncultured delta proteobacterium Rifle_16ft_4_minimus_4275"	16
"uncultured delta proteobacterium Rifle_16ft_4_minimus_809"	5
"uncultured Denitratisoma sp."	15
"uncultured denitrifying bacterium"	586
"uncultured Desulfatibacillum sp."	62
"uncultured Desulfobacteraceae bacterium"	17
"uncultured Desulfobacterales bacterium"	22
"uncultured Desulfobacterales bacterium HF0200_07G10"	1357
"uncultured Desulfobacterium sp."	3093
"uncultured Desulfobulbaceae bacterium"	120
"uncultured Desulfobulbus sp."	625
"uncultured Desulfocapsa sp."	19
"uncultured Desulfococcus sp."	38
"uncultured Desulfomicrobium sp."	11
"uncultured Desulforhopalus sp."	7
"uncultured Desulfosarcina sp."	6
"uncultured Desulfotalea sp."	21
"uncultured Desulfovibrio sp."	970
"uncultured Desulfovibrionaceae bacterium"	11
"uncultured Desulfovibrionales bacterium"	33
"uncultured Desulfuromonadales bacterium"	45
"uncultured Desulfuromonas sp."	6
"uncultured Devosia sp."	5
"uncultured Dokdonia sp."	10
"uncultured Dysgonomonas sp."	5
"uncultured earthworm cast bacterium"	11
"uncultured Ectothiorhodospiraceae bacterium"	35
"uncultured Eikenella sp."	11
"uncultured Elusimicrobium sp."	6
"uncultured endolithic bacterium"	16
"uncultured Endomicrobia bacterium"	8
"uncultured endophytic bacterium"	190
"uncultured Enterobacteriaceae bacterium"	84
"uncultured environmental landfill bacterium"	36
"uncultured Epsilonproteobacteria bacterium"	1066
"uncultured equine intestinal eubacterium sp. DL23"	32
"uncultured equine intestinal eubacterium sp. PL13"	46
"uncultured Erwinia sp."	9
"uncultured Erythrobacteraceae bacterium"	633
"uncultured Escherichia sp."	28
"uncultured eubacterium E1-K12"	35
"uncultured eubacterium E1-K16"	32
"uncultured eubacterium E1-K5"	7
"uncultured eubacterium E1-K9"	15
"uncultured eubacterium WJGRT-210"	6
"uncultured eubacterium WR8108"	6
"uncultured Fibrobacter sp."	26
"uncultured Fibrobacteres bacterium"	5
"uncultured Fibrobacteres/Acidobacteria group bacterium"	675
"uncultured Flammeovirgaceae bacterium"	186
"uncultured Flavobacteriaceae bacterium"	12819
